id,STEM_subjects,H_subjects,Residence_city,Socioeconomic_level,Civil_status,Age,State,Province,Vulnerable_group,Desired_program,Family_income,Father_level,Mother_level,Dropout,MIN_subject
0,57.5,38.0,LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,650000,HIGH SCHOOL,HIGH SCHOOL,NO,38.0
1,51.0,50.0,LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,3800000,TECHNICAL,UNDERGRADUATE,YES,50.0
2,48.3,43.5,LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,2500000,UNDERGRADUATE,HIGH SCHOOL,YES,43.5
3,35.8,49.3,LOCAL,1,Single,24,NEIGHBOR,FOREIGN,2,UNSPECIFIED,1900000,HIGH SCHOOL,TECHNICAL,YES,35.8
4,42.7,41.1,NEIGHBOR,1,Single,26,NEIGHBOR,FOREIGN,2,UNSPECIFIED,500000,HIGH SCHOOL,HIGH SCHOOL,YES,41.1
5,47.8,55.5,LOCAL,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,1950000,PRIMARY SCHOOL,HIGH SCHOOL,NO,47.8
6,60.7,41.9,LOCAL,3,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,41.9
7,53.9,49.0,LOCAL,2,Single,32,LOCAL,LOCAL,2,UNSPECIFIED,3200000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,49.0
8,49.6,44.8,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,44.8
9,60.2,47.0,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1400000,TECHNOLOGIST,TECHNOLOGIST,NO,47.0
10,47.6,49.7,NEIGHBOR,3,Single,26,LOCAL,NEIGHBOR,2,UNSPECIFIED,1500000,PRIMARY SCHOOL,HIGH SCHOOL,NO,47.6
11,52.2,44.4,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,44.4
12,49.3,35.5,LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,YES,35.5
13,47.8,50.5,LOCAL,2,Single,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,HIGH SCHOOL,PRIMARY SCHOOL,YES,47.8
14,62.3,44.3,LOCAL,3,Single,22,FOREIGN,FOREIGN,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,NO,44.3
15,43.0,47.3,LOCAL,3,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,HIGH SCHOOL,HIGH SCHOOL,YES,43.0
16,46.0,29.8,LOCAL,2,Single,23,NEIGHBOR,FOREIGN,2,UNSPECIFIED,900000,HIGH SCHOOL,TECHNICAL,YES,29.8
17,48.4,36.4,LOCAL,1,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,PRIMARY SCHOOL,HIGH SCHOOL,YES,36.4
18,50.8,49.0,LOCAL,2,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,YES,49.0
19,47.2,44.5,LOCAL,1,Single,29,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,44.5
20,55.3,39.3,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,3500000,UNDERGRADUATE,HIGH SCHOOL,NO,39.3
21,52.0,36.8,LOCAL,2,Single,22,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,NO,36.8
22,55.5,51.3,LOCAL,4,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,NO,51.3
23,53.0,35.5,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,550000,PRIMARY SCHOOL,HIGH SCHOOL,YES,35.5
24,46.0,32.0,LOCAL,1,Single,25,FOREIGN,FOREIGN,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,32.0
25,50.4,50.3,NEIGHBOR,1,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,600000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,50.3
26,50.0,49.3,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,800000,PRIMARY SCHOOL,TECHNICAL,YES,49.3
27,52.5,41.8,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,41.8
28,50.3,53.0,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,50.3
29,50.5,53.2,LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,1600000,TECHNOLOGIST,TECHNICAL,NO,50.5
30,52.2,50.6,LOCAL,3,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,NO,50.6
31,57.3,42.0,LOCAL,3,Single,22,LOCAL,LOCAL,-1,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,YES,42.0
32,43.0,34.0,LOCAL,3,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNICAL,HIGH SCHOOL,YES,34.0
33,39.1,40.8,NEIGHBOR,4,Single,27,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,YES,39.1
34,49.2,55.8,LOCAL,4,Single,40,LOCAL,LOCAL,2,UNSPECIFIED,5000000,UNDERGRADUATE,HIGH SCHOOL,NO,49.2
35,56.1,60.0,LOCAL,3,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,56.1
36,60.9,59.8,LOCAL,2,Single,39,LOCAL,LOCAL,2,UNSPECIFIED,1900000,PRIMARY SCHOOL,HIGH SCHOOL,YES,59.8
37,46.5,44.5,LOCAL,2,Single,29,LOCAL,LOCAL,1,UNSPECIFIED,4000000,UNDERGRADUATE,HIGH SCHOOL,YES,44.5
38,58.3,34.9,LOCAL,3,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,NO,34.9
39,41.4,36.0,FOREIGN,2,Single,27,LOCAL,NEIGHBOR,2,UNSPECIFIED,2000000,PRIMARY SCHOOL,UNDERGRADUATE,YES,36.0
40,50.6,48.0,LOCAL,1,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,800000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,48.0
41,51.4,35.6,LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,1000000,TECHNICAL,HIGH SCHOOL,NO,35.6
42,43.5,51.5,LOCAL,4,Single,36,LOCAL,LOCAL,2,UNSPECIFIED,3000000,TECHNICAL,UNDERGRADUATE,NO,43.5
43,44.5,42.8,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,HIGH SCHOOL,YES,42.8
44,34.2,46.0,LOCAL,1,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,600000,HIGH SCHOOL,PRIMARY SCHOOL,YES,34.2
45,43.8,49.1,LOCAL,4,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,NO,43.8
46,62.7,41.8,LOCAL,1,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,41.8
47,51.0,47.7,LOCAL,1,Free union,30,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,47.7
48,45.4,49.5,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,PRIMARY SCHOOL,NO,45.4
49,57.3,42.5,LOCAL,1,Single,22,LOCAL,LOCAL,2,UNSPECIFIED,600000,HIGH SCHOOL,HIGH SCHOOL,NO,42.5
50,53.8,53.8,LOCAL,5,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,UNDERGRADUATE,NO,53.8
51,55.8,41.3,LOCAL,3,Single,21,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,NO,41.3
52,61.8,44.0,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,5600000,UNDERGRADUATE,UNDERGRADUATE,NO,44.0
53,45.3,48.5,LOCAL,1,Single,22,NEIGHBOR,FOREIGN,2,UNSPECIFIED,3000000,HIGH SCHOOL,UNDERGRADUATE,NO,45.3
54,38.3,32.8,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,623000,HIGH SCHOOL,HIGH SCHOOL,NO,32.8
55,46.4,47.9,LOCAL,2,Single,28,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,2000000,UNDERGRADUATE,UNDERGRADUATE,YES,46.4
56,45.3,40.7,LOCAL,3,Single,30,NEIGHBOR,FOREIGN,2,UNSPECIFIED,2600000,UNDERGRADUATE,UNDERGRADUATE,NO,40.7
57,45.8,40.0,LOCAL,2,Single,31,LOCAL,LOCAL,2,UNSPECIFIED,5200000,TECHNICAL,UNDERGRADUATE,YES,40.0
58,54.3,55.5,LOCAL,2,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1800000,UNDERGRADUATE,UNDERGRADUATE,NO,54.3
59,46.8,44.0,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1140000,UNDERGRADUATE,HIGH SCHOOL,NO,44.0
60,47.9,50.1,LOCAL,1,Single,34,NEIGHBOR,FOREIGN,2,UNSPECIFIED,2162174,UNDERGRADUATE,UNDERGRADUATE,NO,47.9
61,64.4,45.3,LOCAL,2,Single,25,NEIGHBOR,FOREIGN,2,UNSPECIFIED,600000,PRIMARY SCHOOL,HIGH SCHOOL,NO,45.3
62,46.2,47.8,NEIGHBOR,2,Single,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,YES,46.2
63,57.0,58.1,LOCAL,4,Single,30,LOCAL,NEIGHBOR,2,UNSPECIFIED,3500000,HIGH SCHOOL,PRIMARY SCHOOL,NO,57.0
64,54.6,63.9,LOCAL,1,Single,26,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,1300000,HIGH SCHOOL,HIGH SCHOOL,NO,54.6
65,55.6,53.7,LOCAL,4,Free union,31,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,UNDERGRADUATE,NO,53.7
66,42.3,42.8,LOCAL,3,Single,24,LOCAL,NEIGHBOR,2,UNSPECIFIED,1400000,HIGH SCHOOL,HIGH SCHOOL,NO,42.3
67,45.8,46.5,LOCAL,2,Married,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,45.8
68,50.0,48.3,LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,644350,HIGH SCHOOL,HIGH SCHOOL,NO,48.3
69,52.8,53.3,NEIGHBOR,1,Single,24,LOCAL,NEIGHBOR,2,UNSPECIFIED,500000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,52.8
70,57.8,37.0,LOCAL,1,Single,22,LOCAL,LOCAL,2,UNSPECIFIED,3000000,UNDERGRADUATE,TECHNICAL,YES,37.0
71,51.5,34.8,LOCAL,1,Single,29,LOCAL,NEIGHBOR,2,UNSPECIFIED,200000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,34.8
72,48.6,40.3,LOCAL,2,Single,30,LOCAL,LOCAL,2,UNSPECIFIED,3000000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,40.3
73,54.3,39.0,LOCAL,1,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,UNDERGRADUATE,NO,39.0
74,40.5,42.8,LOCAL,2,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,3000000,PRIMARY SCHOOL,HIGH SCHOOL,NO,40.5
75,40.8,40.5,LOCAL,3,Single,24,LOCAL,LOCAL,-1,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,YES,40.5
76,64.3,59.0,LOCAL,4,Single,21,LOCAL,LOCAL,2,UNSPECIFIED,6000000,HIGH SCHOOL,UNDERGRADUATE,NO,59.0
77,44.0,47.2,LOCAL,1,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,200000,PRIMARY SCHOOL,HIGH SCHOOL,YES,44.0
78,43.0,43.3,LOCAL,1,Single,25,LOCAL,LOCAL,-1,UNSPECIFIED,4000000,HIGH SCHOOL,HIGH SCHOOL,NO,43.0
79,49.5,38.0,LOCAL,3,Single,23,LOCAL,LOCAL,-1,UNSPECIFIED,1500000,UNDERGRADUATE,UNDERGRADUATE,YES,38.0
80,47.2,35.0,LOCAL,1,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,PRIMARY SCHOOL,HIGH SCHOOL,YES,35.0
81,55.3,40.8,LOCAL,2,Single,23,LOCAL,LOCAL,2,UNSPECIFIED,3500000,UNDERGRADUATE,UNDERGRADUATE,NO,40.8
82,45.0,42.9,LOCAL,1,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,350000,HIGH SCHOOL,HIGH SCHOOL,YES,42.9
83,45.4,45.7,LOCAL,1,Single,28,LOCAL,NEIGHBOR,2,UNSPECIFIED,2500000,PRIMARY SCHOOL,UNDERGRADUATE,NO,45.4
84,51.3,36.0,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1000000,HIGH SCHOOL,PRIMARY SCHOOL,YES,36.0
85,53.5,48.0,LOCAL,2,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,566700,HIGH SCHOOL,UNDERGRADUATE,NO,48.0
86,63.7,55.3,LOCAL,3,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,1675600,UNDERGRADUATE,HIGH SCHOOL,NO,55.3
87,48.3,45.0,LOCAL,4,Single,37,LOCAL,NEIGHBOR,2,UNSPECIFIED,500000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,45.0
88,42.5,49.8,LOCAL,2,Single,33,LOCAL,NEIGHBOR,2,UNSPECIFIED,1800000,HIGH SCHOOL,UNDERGRADUATE,NO,42.5
89,63.2,45.7,LOCAL,2,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,1270000,UNDERGRADUATE,UNDERGRADUATE,YES,45.7
90,40.3,46.5,LOCAL,2,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,3000000,HIGH SCHOOL,PRIMARY SCHOOL,NO,40.3
91,42.6,50.0,LOCAL,2,Single,25,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,1500000,UNDERGRADUATE,UNDERGRADUATE,NO,42.6
92,45.8,31.5,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,28000000,TECHNICAL,UNDERGRADUATE,NO,31.5
93,47.4,50.3,LOCAL,1,Single,27,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,2000000,TECHNICAL,TECHNICAL,YES,47.4
94,40.7,43.5,LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,1600000,UNDERGRADUATE,UNDERGRADUATE,YES,40.7
95,41.2,41.5,LOCAL,2,Single,27,FOREIGN,FOREIGN,2,UNSPECIFIED,300000,HIGH SCHOOL,HIGH SCHOOL,YES,41.2
96,45.7,46.8,LOCAL,2,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,2000000,TECHNOLOGIST,TECHNICAL,YES,45.7
97,49.9,40.2,LOCAL,4,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,UNDERGRADUATE,NO,40.2
98,41.8,32.3,LOCAL,2,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,700000,UNDERGRADUATE,UNDERGRADUATE,NO,32.3
99,51.9,45.2,LOCAL,2,Single,24,NEIGHBOR,FOREIGN,2,UNSPECIFIED,1800000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,45.2
100,46.0,41.3,LOCAL,1,Single,22,LOCAL,NEIGHBOR,-1,UNSPECIFIED,1500000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,41.3
101,56.0,47.0,LOCAL,4,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,4000000,TECHNICAL,TECHNICAL,YES,47.0
102,49.3,42.8,LOCAL,3,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,1000000,HIGH SCHOOL,HIGH SCHOOL,YES,42.8
103,51.3,38.0,LOCAL,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,2500000,UNDERGRADUATE,UNDERGRADUATE,NO,38.0
104,51.7,50.6,LOCAL,1,Single,28,NEIGHBOR,FOREIGN,2,INFORMATIC ENGINEERING,987525,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,50.6
105,50.8,40.5,LOCAL,4,Single,28,LOCAL,LOCAL,2,ELECTRONIC AUTOMATION TECHNOLOGY,5000000,TECHNICAL,TECHNICAL,NO,40.5
106,38.7,40.7,LOCAL,1,Single,31,LOCAL,LOCAL,2,UNSPECIFIED,1100000,UNDERGRADUATE,PRIMARY SCHOOL,YES,38.7
107,57.4,55.0,LOCAL,2,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,55.0
108,47.1,51.5,LOCAL,3,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1800000,UNDERGRADUATE,HIGH SCHOOL,NO,47.1
109,44.8,46.1,LOCAL,3,Single,26,LOCAL,NEIGHBOR,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,NO,44.8
110,55.3,53.3,NEIGHBOR,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,1700000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,53.3
111,38.0,42.5,LOCAL,3,Single,25,LOCAL,NEIGHBOR,2,UNSPECIFIED,1000000,HIGH SCHOOL,UNDERGRADUATE,YES,38.0
112,64.3,66.8,LOCAL,3,Single,21,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,UNDERGRADUATE,YES,64.3
113,43.3,45.5,LOCAL,2,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,3000000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,43.3
114,49.3,44.0,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2600000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,44.0
115,49.3,45.6,LOCAL,4,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,5000000,HIGH SCHOOL,UNDERGRADUATE,YES,45.6
116,45.8,35.5,LOCAL,2,Single,27,FOREIGN,FOREIGN,2,INFORMATIC ENGINEERING,1000000,PRIMARY SCHOOL,TECHNICAL,YES,35.5
117,45.6,43.2,LOCAL,2,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,2000000,HIGH SCHOOL,PRIMARY SCHOOL,NO,43.2
118,20.0,20.0,LOCAL,4,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,3300000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,20.0
119,36.3,38.0,LOCAL,1,Single,23,LOCAL,NEIGHBOR,1,UNSPECIFIED,0,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,36.3
120,48.3,42.0,LOCAL,2,Single,30,LOCAL,LOCAL,2,UNSPECIFIED,1200000,HIGH SCHOOL,HIGH SCHOOL,YES,42.0
121,46.9,42.6,LOCAL,2,Single,28,LOCAL,LOCAL,2,UNSPECIFIED,700000,PRIMARY SCHOOL,PRIMARY SCHOOL,NO,42.6
122,42.8,43.0,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2000000,PRIMARY SCHOOL,PRIMARY SCHOOL,YES,42.8
123,46.3,43.3,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2000000,UNDERGRADUATE,HIGH SCHOOL,NO,43.3
124,62.0,46.5,LOCAL,2,Single,24,LOCAL,LOCAL,2,UNSPECIFIED,1700000,UNDERGRADUATE,UNDERGRADUATE,NO,46.5
125,39.5,41.3,LOCAL,2,Single,29,LOCAL,LOCAL,2,UNSPECIFIED,1600000,UNDERGRADUATE,HIGH SCHOOL,YES,39.5
126,43.3,43.5,LOCAL,3,Single,26,LOCAL,LOCAL,2,INFORMATIC ENGINEERING,0,TECHNICAL,TECHNICAL,YES,43.3
127,56.4,37.2,LOCAL,2,Single,26,LOCAL,NEIGHBOR,2,UNSPECIFIED,1800000,PRIMARY SCHOOL,UNDERGRADUATE,YES,37.2
128,46.5,44.3,LOCAL,3,Single,33,LOCAL,LOCAL,2,UNSPECIFIED,4000000,UNDERGRADUATE,UNDERGRADUATE,NO,44.3
129,52.6,48.7,LOCAL,1,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,2000000,PRIMARY SCHOOL,UNDERGRADUATE,NO,48.7
130,47.8,42.1,LOCAL,3,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,2500000,TECHNOLOGIST,HIGH SCHOOL,YES,42.1
131,45.8,48.0,LOCAL,2,Single,26,LOCAL,LOCAL,2,UNSPECIFIED,4800000,UNDERGRADUATE,UNDERGRADUATE,NO,45.8
132,59.5,37.0,FOREIGN,3,Single,23,NEIGHBOR,FOREIGN,2,UNSPECIFIED,7000000,UNDERGRADUATE,UNDERGRADUATE,YES,37.0
133,49.0,43.3,NEIGHBOR,1,Single,23,LOCAL,NEIGHBOR,2,UNSPECIFIED,4000000,TECHNOLOGIST,UNDERGRADUATE,YES,43.3
134,55.0,42.3,LOCAL,4,Single,25,LOCAL,LOCAL,2,UNSPECIFIED,5000000,UNDERGRADUATE,PRIMARY SCHOOL,NO,42.3
135,67.6,63.7,LOCAL,3,Single,27,LOCAL,LOCAL,2,UNSPECIFIED,3766261,HIGH SCHOOL,UNDERGRADUATE,NO,63.7
